step,train_loss,val_loss,hellaswag,mmlu,arc,lr,grad_norm,tokens_per_sec,mfu,dt_ms
316,4.761601,,,,,2.131092e-03,0.2468,287267.47,0.527335,1825.09
317,4.746128,,,,,2.137815e-03,0.2816,246392.75,0.452301,2127.85
318,4.773971,,,,,2.144538e-03,0.3189,287115.52,0.527056,1826.05
319,4.733164,,,,,2.151261e-03,0.3394,287298.05,0.527391,1824.89
320,4.795174,,,,,2.157983e-03,0.2566,287201.47,0.527214,1825.51
321,4.707684,,,,,2.164706e-03,0.2136,287156.39,0.527131,1825.79
322,4.712203,,,,,2.171429e-03,0.2145,287132.96,0.527088,1825.94
323,4.720017,,,,,2.178151e-03,0.1962,287153.05,0.527125,1825.81
324,4.706711,,,,,2.184874e-03,0.1908,287137.57,0.527096,1825.91
325,4.681302,,,,,2.191597e-03,0.2064,287023.75,0.526887,1826.64
326,4.687191,,,,,2.198319e-03,0.2071,287217.86,0.527244,1825.40
327,4.659604,,,,,2.205042e-03,0.2201,287162.77,0.527142,1825.75
328,4.662002,,,,,2.211765e-03,0.2749,287002.81,0.526849,1826.77
329,4.694917,,,,,2.218487e-03,0.2065,286967.23,0.526784,1827.00
330,4.663380,,,,,2.225210e-03,0.1913,286726.41,0.526341,1828.53
331,4.682740,,,,,2.231933e-03,0.2113,286708.02,0.526308,1828.65
332,4.694158,,,,,2.238655e-03,0.2250,286929.26,0.526714,1827.24
333,4.688756,,,,,2.245378e-03,0.2337,286348.45,0.525648,1830.94
334,4.693286,,,,,2.252101e-03,0.2057,286102.53,0.525196,1832.52
335,4.661325,,,,,2.258824e-03,0.2646,286559.69,0.526035,1829.59
336,4.672081,,,,,2.265546e-03,0.2796,287308.56,0.527410,1824.83
337,4.660792,,,,,2.272269e-03,0.2369,287060.47,0.526955,1826.40
338,4.650814,,,,,2.278992e-03,0.2725,287075.31,0.526982,1826.31
339,4.644794,,,,,2.285714e-03,0.2718,287119.76,0.527064,1826.03
340,4.708138,,,,,2.292437e-03,0.3413,287123.36,0.527070,1826.00
341,4.660476,,,,,2.299160e-03,0.2393,287027.01,0.526893,1826.62
342,4.638021,,,,,2.305882e-03,0.3263,286988.24,0.526822,1826.86
343,4.656979,,,,,2.312605e-03,0.3402,287023.00,0.526886,1826.64
344,4.655225,,,,,2.319328e-03,0.2758,286915.67,0.526689,1827.32
345,4.661722,,,,,2.326050e-03,0.3050,287029.70,0.526898,1826.60
346,4.645727,,,,,2.332773e-03,0.2764,287049.15,0.526934,1826.47
347,4.653574,,,,,2.339496e-03,0.3213,287022.10,0.526884,1826.65
348,4.625022,,,,,2.346218e-03,0.2285,287004.46,0.526852,1826.76
349,4.637413,,,,,2.352941e-03,0.2530,286891.82,0.526645,1827.48
350,4.632909,,,,,2.359664e-03,0.2423,286956.25,0.526763,1827.07
